OBJECTID,Lot Name,Address,OWNER,Lot Type,Permit Hours,Surface,Lot Label,Accessible,Motorcycle Lot,Permit Lot,2HR Free Lot,Hourly Lot,Reserved Lot,Lot Description,Capacity,AREA_M,Shape__Area,Shape__Length
1,City Centre Lot (Reserved),100 REGINA ST S,City of Waterloo,Reserved Parking,,PAVED,CC,Y,N,Y,N,N,Y,Permit Parking Mon-Fri 8am-5pm,,3436.81965070008,3.82549842470326E-07,0.00255460416638863
2,Caroline North Lot,41 CAROLINE ST S,City of Waterloo,Permit Parking,,PAVED,CN,N,Y,Y,N,N,N,Permit Parking Mon-Fri 8am-6pm; Overnight Permits; 24h Permits,101 Permit,3211.26850192457,3.57431872544112E-07,0.00250721139021726
3,Perimeter Lot,31 CAROLINE ST N,City of Waterloo,Permit Parking,,PAVED,PI,Y,Y,Y,N,N,N,Permit Parking Mon-Fri 8am-5pm,,3316.08276771885,3.69116150977788E-07,0.00395819018715151
4,Waterloo Town Square (North),45 ERB ST W,City of Waterloo,2 Hour Free Parking,,PAVED,WTSN,Y,N,N,Y,N,N,2 Hour Free Parking Mon-Fri 8am-6pm,270 Two-Hour No Charge,9532.75144315115,1.06108632280666E-06,0.00683815935196975
5,Bauer Lot,80 FATHER DAVID BAUER DR,City of Waterloo,Permit Parking,,UNPAVED,B,N,N,Y,N,N,N,Permit Parking Mon-Fri 8am-5pm,180 Permit,3367.07875850926,3.7479549064301E-07,0.00255333975208712
6,Alexandra Lot,87 CAROLINE ST S,City of Waterloo,Permit Parking,,PAVED,A,N,N,Y,N,N,N,Permit Parking Mon-Fri 8am-6pm; Overnight Permits March-November Only,16 Permit,471.365902574981,5.24648839927977E-08,0.000936288285109866
7,Herbert Lot,35 WILLIAM ST E,City of Waterloo,Permit Parking,,PAVED,H,N,N,Y,N,N,N,Permit Parking Mon-Fri 8am-5pm,12 Permit,403.133682909431,4.48715127276955E-08,0.00100629987743791
8,Dupont Lot,35 ALBERT ST,City of Waterloo,Permit Parking,,PAVED,D,Y,N,Y,N,N,N,Permit Parking Mon-Fri 9am-5pm,118 Permit and Pay and Display (combined with adjacent lot),2651.30689847705,2.95121026283596E-07,0.00224020786628294
9,Library Lot,35 ALBERT ST,City of Waterloo,Permit Parking and Paid Hourly Parking,,PAVED,L,Y,N,Y,N,Y,N,Permit Parking Mon-Fri 9am-5pm; Pay & Display Machine Mon-Sat 9am-9pm $2.50/hr,30 Permit,920.911388642049,1.02509829957853E-07,0.00130992939818733
10,Dupont Lot (Pay and Display),35 ALBERT ST,City of Waterloo,Paid Hourly Parking,,PAVED,D,Y,N,N,N,N,N,Pay & Display Machine  Mon-Sat 9am-9pm $2.50/hr,118 Permit and Pay and Display (combined with adjacent lot),1704.18271444346,1.89696493180236E-07,0.0018364336340237
11,City Centre Lot,100 REGINA ST S,City of Waterloo,2 Hour Free Parking,,PAVED,CC,Y,N,N,Y,N,N,2 Hour Free Parking Mon-Fri 8am-5pm,,1538.4150868122,1.71238752955105E-07,0.0017256256536531
12,Uptown Parkade,10 WILLIS WAY,City of Waterloo,Permit Parking and Paid Hourly Parking,,PAVED,P,Y,N,Y,N,Y,N,$3.00/hr Maximum$16.00/day Mon-Fri 8am-9pm; 24 Hour Permits; Overnight/Weekend Permits; $3 flat rate Mon-Fri 9pm-Midnight; $3 flat rate Mon-Fri Midnight-8am; Sat & Sun $3 flat rate - add to permit det,,2844.01060230846,3.16563045998919E-07,0.0025511895660324
13,Regina Lot,30 REGINA ST S,City of Waterloo,Permit Parking,,PAVED,R,Y,N,Y,N,N,N,Permit Parking Mon-Fri 8am-6pm,121 Permit,3420.05810846608,3.80685378331691E-07,0.00357594520957307
14,Caroline South Lot,71 CAROLINE ST S,City of Waterloo,Permit Parking,,PAVED,CS,N,N,Y,N,N,N,Permit Parking Mon-Fri 8am-6pm,96 Permit,3038.19602808147,3.38164682034403E-07,0.00313053396430895
15,Waterloo Town Square (South) (Free Parking),70 CAROLINE ST S,City of Waterloo,2 Hour Free Parking,,PAVED,WTSS,Y,Y,N,Y,N,N,2 Hour Free Parking Mon-Fri 8am-6pm,324 Two-Hour No Charge and Permit,7976.82903621438,8.87866690391093E-07,0.00516932861462932
16,Station Lot (2h Free Parking),20 REGINA ST S,City of Waterloo,Permit Parking and 2 Hour Free Parking,,PAVED,S,Y,N,Y,Y,N,N,2 Hour Free Parking Mon-Fri 8am-5pm;  Overnight Parking Permitted in Park It and Leave It Spaces Only,95 Permit and Two-Hour No Charge,1520.53185227677,1.69250824910705E-07,0.00185541581988366
17,William Lot,29 WILLIAM ST E,City of Waterloo,Permit Parking,,PAVED,W,N,Y,Y,N,N,N,Permit Parking Mon-Fri 8am-5pm,30 Permit,849.393954923728,9.45428837439977E-08,0.00167589123253924
18,Museum Lot,82 ERB ST,City of Waterloo,Permit Parking and 2 Hour Free Parking,,PAVED,M,Y,N,Y,N,N,N,Permit Parking Mon-Fri 8am-6pm,81 Permit and Two-Hour No Charge,1660.16849397926,1.84791588253574E-07,0.00192940570993669
19,Museum Lot (2h Free Parking),82 ERB ST,City of Waterloo,Permit Parking and 2 Hour Free Parking,,PAVED,M,Y,N,N,Y,N,N,2 Hour Free Parking Mon-Fri 8am-6pm,81 Permit and Two-Hour No Charge,1386.02731806557,1.54278268382768E-07,0.00212684737358398
20,Caroline South Lot (Motorcycle Parking),71 CAROLINE ST S,City of Waterloo,Motorcycle Parking,,PAVED,CS,N,Y,N,N,N,N,No Permit Required,,78.6670405224816,8.75593286764342E-09,0.00061963163822566
21,Perimeter Lot (2h Free Parking),31 CAROLINE ST N,City of Waterloo,2 Hour Free Parking,,PAVED,PI,Y,Y,N,Y,N,N,2 Hour Free Parking Mon-Fri 8am-5pm,,404.366615872281,4.50102106697159E-08,0.00110624455138519
22,Regina Lot (Motorcycle Parking),30 REGINA ST S,City of Waterloo,Motorcycle Parking,,PAVED,R,Y,N,Y,N,N,N,Motorcycle Permit Parking Mon-Fri 8am-6pm,,30.2389826064734,3.36581251758616E-09,0.000233999630299158
23,Station Lot (Permit),20 REGINA ST S,City of Waterloo,Permit Parking and 2 Hour Free Parking,,PAVED,S,Y,N,Y,N,N,N,Permit Parking Mon-Fri 8am-5pm,95 Permit and Two-Hour No Charge,353.07004981622,3.93004029319854E-08,0.00144334913570294
24,Waterloo Town Square (South),70 CAROLINE ST S,City of Waterloo,Permit Parking,,PAVED,WTSS,Y,Y,Y,N,N,N,Permit Parking Mon-Fri 8am-6pm,324 Two-Hour No Charge and Permit,1385.57905578433,1.54221652337583E-07,0.00250242784390234
25,Clay & Glass Gallery,31 CAROLINE ST N,City of Waterloo,2 Hour Free Parking,,PAVED,PI,Y,Y,N,Y,N,N,2 Hour Free Parking Mon-Fri 8am-5pm,,156.597602008483,1.74313754541799E-08,0.000700462525649773
26,Station Lot (Paul Puncher),20 REGINA ST S,City of Waterloo,Permit Parking and 2 Hour Free Parking,,PAVED,S,Y,N,Y,N,N,N,Paul Puncher Permit Parking Mon-Fri 8am-6pm,95 Permit and Two-Hour No Charge,671.545299078318,7.47502326703398E-08,0.00181874122549015
27,Station Lot,20 REGINA ST S,City of Waterloo,Permit Parking and 2 Hour Free Parking,,PAVED,S,Y,N,Y,Y,N,N,2 Hour Free Parking Mon-Fri 8am-5pm; ""S"" Permit,95 Permit and Two-Hour No Charge,910.787729804766,1.01380010164576E-07,0.00168184154902558
28,Willow Lot,21 WILLOW ST,City of Waterloo,Permit Parking,,PAVED,WL,N,N,Y,N,N,N,Permit Parking Mon-Fri 8am-5pm,14 Permit,408.269442137848,4.54440396424616E-08,0.000904834741774492
29,Waterloo Town Square (South) (Agreement),70 CAROLINE ST S,City of Waterloo,2 Hour Free Parking,,PAVED,WTSS,Y,Y,N,Y,N,N,2 Hour Free Parking Mon-Fri 8am-6pm,324 Two-Hour No Charge and Permit,2739.43341814157,3.04916966342716E-07,0.00266446923237725
30,Temporary Parking Lot B,,City of Waterloo,2 Hour Free Parking,,UNPAVED,TB,N,N,N,Y,N,N,2 Hour Free Parking Mon-Fri 8am-6pm,,883.638430588569,9.83632162387948E-08,0.00125401476589311
31,Temporary Lot A,,Private,2 Hour Free Parking,,Asphalt,TA,Y,N,N,Y,N,N,2 Hour Free Parking Mon-Fri 8am-6pm,,1944.6203266943,2.16465195990168E-07,0.00187143428385152
