OBJECTID,CATEGORY,NUM_SPACES,SUBCATEGORY,SOURCE_DATE,SOURCE,PARKING_ACCESS,STREET,PARKINGONSTREETID,PARKING_COST,CREATE_DATE,UPDATE_DATE,PAYMENT_METHOD,MAX_RATE,HOURS,DAYS,OWNERSHIP,WARDID,PLANNINGCOMMUNITYID,STATUS,Shape__Area,Shape__Length
126,PARKING,3,ON STREET,12/12/2011 12:43:59 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,COLLEGE ST,1956,2 HOURS FREE,7/2/2003 3:07:59 PM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,10,1,ACTIVE,48.686279296875,44.8080958976898
127,PARKING,4,ON STREET,12/13/2011 3:46:55 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,COLLEGE ST,1963,2 HOURS FREE,7/2/2003 3:08:00 PM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,10,1,ACTIVE,52.055419921875,47.5736752863289
128,PARKING,8,ON STREET,3/12/2013 4:01:28 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,QUEEN ST N,2009,2 HOURS FREE,7/2/2003 3:08:02 PM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,10,1,ACTIVE,112.453369140625,97.1109505412951
130,PARKING,3,ON STREET,5/16/2013 10:09:18 AM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,KING ST W,2018,2 HOURS FREE,7/2/2003 3:08:02 PM,5/1/2017 9:59:43 AM, ,,,,KITCHENER,9,1,ACTIVE,55.600830078125,47.500733433199
131,PARKING,3,ON STREET,12/12/2011 12:43:59 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,ONTARIO ST N,2026,30 MINS FREE,7/2/2003 3:08:02 PM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,10,1,ACTIVE,46.908935546875,43.353834401176
132,PARKING,3,ON STREET,12/12/2011 12:43:59 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,ONTARIO ST N,2039,30 MINS FREE,7/2/2003 3:08:03 PM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,10,1,ACTIVE,49.05859375,45.1154008951287
133,PARKING,5,ON STREET,5/8/2013 10:37:26 AM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,EBY ST,2089,2 HOURS FREE,7/2/2003 3:08:06 PM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,10,1,ACTIVE,67.38427734375,58.9078816150974
134,PARKING,15,ON STREET,12/13/2011 1:23:00 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,CHARLES ST E,2118,2 HOURS FREE,7/2/2003 3:08:07 PM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,9,1,ACTIVE,227.96044921875,191.844008089382
135,PARKING,10,ON STREET,3/12/2013 4:01:28 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,FRANCIS ST S,7352,2 HOURS FREE,9/12/2014 4:16:45 PM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,9,1,ACTIVE,213.542236328125,90.9345212674572
136,PARKING,3,ON STREET,12/12/2011 12:44:42 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,KING ST E,2063,2 HOURS FREE,7/2/2003 3:08:04 PM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,9,1,ACTIVE,39.17578125,45.1275755055675
